AG1909.SHF,COMMODITY,FUTURES,PRECIOUS_METAL,白银1909,SHFE,15,2019-09-16,白银,15千克,人民币元/千克
AG1910.SHF,COMMODITY,FUTURES,PRECIOUS_METAL,白银1910,SHFE,15,2019-10-15,白银,15千克,人民币元/千克
AG1911.SHF,COMMODITY,FUTURES,PRECIOUS_METAL,白银1911,SHFE,15,2019-11-15,白银,15千克,人民币元/千克
AG1912.SHF,COMMODITY,FUTURES,PRECIOUS_METAL,白银1912,SHFE,15,2019-12-16,白银,15千克,人民币元/千克
AG2001.SHF,COMMODITY,FUTURES,PRECIOUS_METAL,白银2001,SHFE,15,2020-01-15,白银,15千克,人民币元/千克
AG2002.SHF,COMMODITY,FUTURES,PRECIOUS_METAL,白银2002,SHFE,15,2020-02-17,白银,15千克,人民币元/千克
AG2003.SHF,COMMODITY,FUTURES,PRECIOUS_METAL,白银2003,SHFE,15,2020-03-16,白银,15千克,人民币元/千克
AL1909.SHF,COMMODITY,FUTURES,METAL,铝1909,SHFE,50,2019-09-16,铝,5吨,人民币元/吨
AL1910.SHF,COMMODITY,FUTURES,METAL,铝1910,SHFE,50,2019-10-15,铝,5吨,人民币元/吨
AL1911.SHF,COMMODITY,FUTURES,METAL,铝1911,SHFE,50,2019-11-15,铝,5吨,人民币元/吨
AL1912.SHF,COMMODITY,FUTURES,METAL,铝1912,SHFE,50,2019-12-16,铝,5吨,人民币元/吨
AL2001.SHF,COMMODITY,FUTURES,METAL,铝2001,SHFE,50,2020-01-15,铝,5吨,人民币元/吨
AL2002.SHF,COMMODITY,FUTURES,METAL,铝2002,SHFE,50,2020-02-17,铝,5吨,人民币元/吨
AL2003.SHF,COMMODITY,FUTURES,METAL,铝2003,SHFE,50,2020-03-16,铝,5吨,人民币元/吨
AP001.CZC,COMMODITY,FUTURES,AGRICULTURE,鲜苹果2001,CZCE,10,2020-01-15,鲜苹果,10吨,人民币元/吨
AP003.CZC,COMMODITY,FUTURES,AGRICULTURE,鲜苹果2003,CZCE,10,2020-03-13,鲜苹果,10吨,人民币元/吨
AP910.CZC,COMMODITY,FUTURES,AGRICULTURE,鲜苹果1910,CZCE,10,2019-10-21,鲜苹果,10吨,人民币元/吨
AP911.CZC,COMMODITY,FUTURES,AGRICULTURE,鲜苹果1911,CZCE,10,2019-11-14,鲜苹果,10吨,人民币元/吨
AP912.CZC,COMMODITY,FUTURES,AGRICULTURE,鲜苹果1912,CZCE,10,2019-12-13,鲜苹果,10吨,人民币元/吨
AU1910.SHF,COMMODITY,FUTURES,PRECIOUS_METAL,黄金1910,SHFE,1000,2019-10-15,黄金,1000克,人民币元/克
AU1912.SHF,COMMODITY,FUTURES,PRECIOUS_METAL,黄金1912,SHFE,1000,2019-12-16,黄金,1000克,人民币元/克
AU2002.SHF,COMMODITY,FUTURES,PRECIOUS_METAL,黄金2002,SHFE,1000,2020-02-17,黄金,1000克,人民币元/克
AU9999.SGE,COMMODITY,SPOT,PRECIOUS_METAL,黄金9999,SGE,1000,None,黄金,1000克,人民币元/克
BU1909.SHF,COMMODITY,FUTURES,RESOURCE,石油沥青1909,SHFE,10,2019-09-16,石油沥青,10吨,人民币元/吨
BU1910.SHF,COMMODITY,FUTURES,RESOURCE,石油沥青1910,SHFE,10,2019-10-15,石油沥青,10吨,人民币元/吨
BU1911.SHF,COMMODITY,FUTURES,RESOURCE,石油沥青1911,SHFE,10,2019-11-15,石油沥青,10吨,人民币元/吨
BU1912.SHF,COMMODITY,FUTURES,RESOURCE,石油沥青1912,SHFE,10,2019-12-16,石油沥青,10吨,人民币元/吨
BU2003.SHF,COMMODITY,FUTURES,RESOURCE,石油沥青2003,SHFE,10,2020-03-16,石油沥青,10吨,人民币元/吨
C1909.DCE,COMMODITY,FUTURES,AGRICULTURE,黄玉米1909,DCE,10,2019-09-16,黄玉米,10吨,人民币元/吨
C1911.DCE,COMMODITY,FUTURES,AGRICULTURE,黄玉米1911,DCE,10,2019-11-14,黄玉米,10吨,人民币元/吨
C2001.DCE,COMMODITY,FUTURES,AGRICULTURE,黄玉米2001,DCE,10,2020-01-15,黄玉米,10吨,人民币元/吨
C2003.DCE,COMMODITY,FUTURES,AGRICULTURE,黄玉米2003,DCE,10,2020-03-13,黄玉米,10吨,人民币元/吨
CF001.CZC,COMMODITY,FUTURES,AGRICULTURE,一号棉花2001,CZCE,5,2020-01-15,一号棉花,5吨,人民币元/吨
CF003.CZC,COMMODITY,FUTURES,AGRICULTURE,一号棉花2003,CZCE,5,2020-03-13,一号棉花,5吨,人民币元/吨
CF909.CZC,COMMODITY,FUTURES,AGRICULTURE,一号棉花1909,CZCE,5,2019-09-16,一号棉花,5吨,人民币元/吨
CF911.CZC,COMMODITY,FUTURES,AGRICULTURE,一号棉花1911,CZCE,5,2019-11-14,一号棉花,5吨,人民币元/吨
CS1909.DCE,COMMODITY,FUTURES,AGRICULTURE,玉米淀粉1909,DCE,10,2019-09-16,玉米淀粉,10吨,人民币元/吨
CS1911.DCE,COMMODITY,FUTURES,AGRICULTURE,玉米淀粉1911,DCE,10,2019-11-14,玉米淀粉,10吨,人民币元/吨
CS2001.DCE,COMMODITY,FUTURES,AGRICULTURE,玉米淀粉2001,DCE,10,2020-01-15,玉米淀粉,10吨,人民币元/吨
CS2003.DCE,COMMODITY,FUTURES,AGRICULTURE,玉米淀粉2003,DCE,10,2020-03-13,玉米淀粉,10吨,人民币元/吨
CU1909.SHF,COMMODITY,FUTURES,METAL,铜1909,SHFE,5,2019-09-16,铜,5吨,人民币元/吨
CU1910.SHF,COMMODITY,FUTURES,METAL,铜1910,SHFE,5,2019-10-15,铜,5吨,人民币元/吨
CU1911.SHF,COMMODITY,FUTURES,METAL,铜1911,SHFE,5,2019-11-15,铜,5吨,人民币元/吨
CU1912.SHF,COMMODITY,FUTURES,METAL,铜1912,SHFE,5,2019-12-16,铜,5吨,人民币元/吨
CU2001.SHF,COMMODITY,FUTURES,METAL,铜2001,SHFE,5,2020-01-15,铜,5吨,人民币元/吨
CU2002.SHF,COMMODITY,FUTURES,METAL,铜2002,SHFE,5,2020-02-17,铜,5吨,人民币元/吨
CU2003.SHF,COMMODITY,FUTURES,METAL,铜2003,SHFE,5,2020-03-16,铜,5吨,人民币元/吨
FG001.CZC,COMMODITY,FUTURES,RESOURCE,平板玻璃2001,CZCE,20,2020-01-15,平板玻璃,20吨,人民币元/吨
FG002.CZC,COMMODITY,FUTURES,RESOURCE,平板玻璃2002,CZCE,20,2020-02-14,平板玻璃,20吨,人民币元/吨
FG003.CZC,COMMODITY,FUTURES,RESOURCE,平板玻璃2003,CZCE,20,2020-03-13,平板玻璃,20吨,人民币元/吨
FG909.CZC,COMMODITY,FUTURES,RESOURCE,平板玻璃1909,CZCE,20,2019-09-16,平板玻璃,20吨,人民币元/吨
FG910.CZC,COMMODITY,FUTURES,RESOURCE,平板玻璃1910,CZCE,20,2019-10-21,平板玻璃,20吨,人民币元/吨
FG911.CZC,COMMODITY,FUTURES,RESOURCE,平板玻璃1911,CZCE,20,2019-11-14,平板玻璃,20吨,人民币元/吨
FG912.CZC,COMMODITY,FUTURES,RESOURCE,平板玻璃1912,CZCE,20,2019-12-13,平板玻璃,20吨,人民币元/吨
FU1910.SHF,COMMODITY,FUTURES,RESOURCE,燃料油1910,SHFE,10,2019-09-23,燃料油,10吨,人民币元/吨
FU1911.SHF,COMMODITY,FUTURES,RESOURCE,燃料油1911,SHFE,10,2019-10-31,燃料油,10吨,人民币元/吨
FU1912.SHF,COMMODITY,FUTURES,RESOURCE,燃料油1912,SHFE,10,2019-11-29,燃料油,10吨,人民币元/吨
FU2001.SHF,COMMODITY,FUTURES,RESOURCE,燃料油2001,SHFE,10,2019-12-31,燃料油,10吨,人民币元/吨
FU2002.SHF,COMMODITY,FUTURES,RESOURCE,燃料油2002,SHFE,10,2020-01-31,燃料油,10吨,人民币元/吨
FU2003.SHF,COMMODITY,FUTURES,RESOURCE,燃料油2003,SHFE,10,2020-02-28,燃料油,10吨,人民币元/吨
FU2004.SHF,COMMODITY,FUTURES,RESOURCE,燃料油2004,SHFE,10,2020-03-31,燃料油,10吨,人民币元/吨
HC1909.SHF,COMMODITY,FUTURES,RESOURCE,热轧卷板1909,SHFE,10,2019-09-16,热轧卷板,10吨,人民币元/吨
HC1910.SHF,COMMODITY,FUTURES,RESOURCE,热轧卷板1910,SHFE,10,2019-10-15,热轧卷板,10吨,人民币元/吨
HC1911.SHF,COMMODITY,FUTURES,RESOURCE,热轧卷板1911,SHFE,10,2019-11-15,热轧卷板,10吨,人民币元/吨
HC1912.SHF,COMMODITY,FUTURES,RESOURCE,热轧卷板1912,SHFE,10,2019-12-16,热轧卷板,10吨,人民币元/吨
HC2001.SHF,COMMODITY,FUTURES,RESOURCE,热轧卷板2001,SHFE,10,2020-01-15,热轧卷板,10吨,人民币元/吨
HC2002.SHF,COMMODITY,FUTURES,RESOURCE,热轧卷板2002,SHFE,10,2020-02-17,热轧卷板,10吨,人民币元/吨
HC2003.SHF,COMMODITY,FUTURES,RESOURCE,热轧卷板2003,SHFE,10,2020-03-16,热轧卷板,10吨,人民币元/吨
I1909.DCE,COMMODITY,FUTURES,RESOURCE,铁矿石1909,DCE,100,2019-09-16,铁矿石,100吨,人民币元/吨
I1910.DCE,COMMODITY,FUTURES,RESOURCE,铁矿石1910,DCE,100,2019-10-21,铁矿石,100吨,人民币元/吨
I1911.DCE,COMMODITY,FUTURES,RESOURCE,铁矿石1911,DCE,100,2019-11-14,铁矿石,100吨,人民币元/吨
I1912.DCE,COMMODITY,FUTURES,RESOURCE,铁矿石1912,DCE,100,2019-12-13,铁矿石,100吨,人民币元/吨
I2001.DCE,COMMODITY,FUTURES,RESOURCE,铁矿石2001,DCE,100,2020-01-15,铁矿石,100吨,人民币元/吨
